"GroupID","start_date","end_date","n_days","median_flow","event_AGWRC","logQ","IQR_flagged_outlier","cooks_distance","cooks_flagged"
2,1934-04-28,1934-05-07,6,76,0.979899581961079,4.33073334028633,FALSE,4.27361611146644e-07,FALSE
3,1936-04-15,1936-04-27,9,250,0.94180295792601,5.52146091786225,FALSE,0.299641352440438,TRUE
4,1938-01-05,1938-01-20,7,141,0.983789418654944,4.94875989037817,FALSE,0.0108202133300572,FALSE
5,1940-08-26,1940-09-22,20,186.5,0.963136525901612,5.22843123908387,FALSE,0.0142638894622195,FALSE
6,1943-02-17,1943-03-03,12,178,0.982234885792857,5.18178355029209,FALSE,0.0202338597319157,FALSE
8,1943-04-29,1943-05-19,10,138.5,0.98648129507903,4.93087032562739,FALSE,0.0166288444822386,FALSE
9,1946-03-23,1946-04-06,10,162.5,0.980680595408252,5.09067800176979,FALSE,0.00966863469999826,FALSE
10,1949-05-30,1949-06-08,7,172,0.986047090995154,5.14749447681345,FALSE,0.0333016305638758,FALSE
12,1950-04-12,1950-04-22,7,146,0.990452340854863,4.98360662170834,FALSE,0.0339711036728743,FALSE
14,1957-12-24,1958-01-09,10,120,0.963207013189191,4.78749174278205,FALSE,0.0142914273958152,FALSE
15,1958-08-27,1958-09-09,9,74,0.967008147937887,4.30406509320417,FALSE,0.0305489774266591,FALSE
16,1959-01-30,1959-02-10,9,88,0.99601824575904,4.47733681447821,FALSE,0.037592731884436,FALSE
18,1960-04-13,1960-04-29,10,192.5,0.982630285689781,5.26009615372784,FALSE,0.0299742429666071,FALSE
19,1962-04-12,1962-04-27,12,197.5,0.951087728578106,5.28573858434118,FALSE,0.093664395077992,FALSE
20,1975-11-20,1975-12-04,7,101,0.988746913282257,4.61512051684126,FALSE,0.013220303932469,FALSE
21,1978-04-05,1978-04-17,7,156,0.955905594341407,5.04985600724954,FALSE,0.0408673512082228,FALSE
22,1980-05-05,1980-05-17,9,172,0.961332584517517,5.14749447681345,FALSE,0.0202386285917766,FALSE
24,1982-05-06,1982-05-16,10,79.5,0.971585117855344,4.37575702166029,FALSE,0.00929051601765649,FALSE
26,1983-05-02,1983-05-14,8,283,0.961580268011207,5.64544689764324,FALSE,0.0190775077062035,FALSE
27,1984-09-09,1984-09-22,7,85,0.970800067207116,4.44265125649032,FALSE,0.0083624882551922,FALSE
28,1985-02-18,1985-03-04,8,137.5,0.98930360525454,4.92362391710663,FALSE,0.0246317992922949,FALSE
29,1985-09-25,1985-10-08,7,48,0.991292905892159,3.87120101090789,FALSE,0.0248304474706623,FALSE
30,1986-03-23,1986-04-13,14,117.5,0.981883425908736,4.76643833358421,FALSE,0.00350175572456081,FALSE
32,1991-01-25,1991-02-05,8,186,0.979740570581175,5.2257466737132,FALSE,0.0143707457222081,FALSE
34,1994-08-27,1994-10-07,18,78.5,0.98620746901479,4.36309862478836,FALSE,0.00690471885313766,FALSE
35,1995-07-30,1995-08-13,6,79,0.977755835843727,4.36944785246702,FALSE,0.000458159611456183,FALSE
36,1996-10-22,1996-11-04,8,110.5,0.991256536939172,4.70501552095781,FALSE,0.0206931346595968,FALSE
38,1998-08-21,1998-09-06,12,48.5,0.965677434678318,3.88156379794344,FALSE,0.16215003087719,TRUE
40,2001-04-15,2001-05-05,12,86,0.972155117856397,4.45434729625351,FALSE,0.00544679233212197,FALSE
41,2005-10-27,2005-11-11,8,66.5,0.986230867707539,4.19720194766181,FALSE,0.00603181724281318,FALSE
43,2007-03-25,2007-04-05,7,156,0.974382861177821,5.04985600724954,FALSE,0.000235771482619535,FALSE
44,2012-04-03,2012-04-12,8,132,0.973766978013951,4.88280192258637,FALSE,8.02575100134556e-05,FALSE
45,2015-05-05,2015-05-31,13,107,0.967746464214033,4.67282883446191,FALSE,0.00742117077139406,FALSE
47,2019-09-17,2019-10-04,13,39.5,0.975956311588756,3.67630067190708,FALSE,0.0760247738442053,FALSE
48,2020-07-01,2020-07-10,8,135,0.964414827671351,4.90527477843843,FALSE,0.0106438333963878,FALSE
49,2021-01-06,2021-01-24,10,212,0.967750617453444,5.35658627467201,FALSE,0.00168837140932802,FALSE
51,2021-05-24,2021-06-07,7,93.8,0.985666968964527,4.54116485601218,FALSE,0.006630310503267,FALSE
52,2021-11-20,2021-12-05,7,75.6,0.997645082540577,4.32545628318549,FALSE,0.05339827877743,FALSE
53,2022-06-16,2022-07-01,6,71.7,0.968843140860636,4.27249074760558,FALSE,0.0256321237196263,FALSE
55,2024-10-12,2024-10-26,11,60.8,0.980525526756796,4.10758978897212,FALSE,0.000576743049338588,FALSE
