"site_no","Date","Flow","AGWR","delta_AGWR","Year","Month","Day","Season","GroupID"
"USGS-02055000",1905-12-25,530,0.898305084745763,0.997270899166906,1905,12,25,"Winter",1
"USGS-02055000",1905-12-26,470,0.886792452830189,0.987184051263795,1905,12,26,"Winter",1
"USGS-02055000",1905-12-27,500,1.06382978723404,1.19963784517881,1905,12,27,"Winter",1
"USGS-02055000",1905-12-28,470,0.94,0.8836,1905,12,28,"Winter",1
"USGS-02055000",1905-12-29,442,0.940425531914894,1.00045269352648,1905,12,29,"Winter",1
"USGS-02055000",1905-12-30,360,0.81447963800905,0.866075633177044,1905,12,30,"Winter",1
"USGS-02055000",1905-12-31,360,1,1.22777777777778,1905,12,31,"Winter",1
"USGS-02055000",1906-01-01,335,0.930555555555556,0.930555555555556,1906,1,1,"Winter",1
"USGS-02055000",1906-01-02,310,0.925373134328358,0.994430830920027,1906,1,2,"Winter",1
"USGS-02055000",1906-01-03,3980,12.8387096774194,13.8740894901145,1906,1,3,"Winter",1
"USGS-02055000",1906-01-04,2390,0.600502512562814,0.0467728087674554,1906,1,4,"Winter",1
"USGS-02055000",1906-01-05,1440,0.602510460251046,1.00334377899547,1906,1,5,"Winter",1
"USGS-02055000",1906-01-06,840,0.583333333333333,0.968171296296296,1906,1,6,"Winter",1
"USGS-02055000",1906-01-07,622,0.740476190476191,1.26938775510204,1906,1,7,"Winter",1
"USGS-02055000",1906-01-08,560,0.90032154340836,1.21586832228782,1906,1,8,"Winter",1
"USGS-02055000",1906-01-09,500,0.892857142857143,0.991709183673469,1906,1,9,"Winter",1
"USGS-02055000",1907-05-03,460,0.968421052631579,1.01939058171745,1907,5,3,"Spring",2
"USGS-02055000",1907-05-04,440,0.956521739130435,0.987712665406427,1907,5,4,"Spring",2
"USGS-02055000",1907-05-05,420,0.954545454545455,0.997933884297521,1907,5,5,"Spring",2
"USGS-02055000",1907-05-06,700,1.66666666666667,1.74603174603175,1907,5,6,"Spring",2
"USGS-02055000",1907-05-07,1320,1.88571428571429,1.13142857142857,1907,5,7,"Spring",2
"USGS-02055000",1907-05-08,1090,0.825757575757576,0.437901744719927,1907,5,8,"Spring",2
"USGS-02055000",1907-05-09,920,0.844036697247706,1.02213618382291,1907,5,9,"Spring",2
"USGS-02055000",1907-05-10,770,0.83695652173913,0.991611531190926,1907,5,10,"Spring",2
"USGS-02055000",1907-05-11,700,0.909090909090909,1.086186540732,1907,5,11,"Spring",2
"USGS-02055000",1907-05-12,599,0.855714285714286,0.941285714285714,1907,5,12,"Spring",2
"USGS-02055000",1907-05-13,568,0.948247078464107,1.108135150125,1907,5,13,"Spring",2
"USGS-02055000",1907-05-14,539,0.948943661971831,1.00073460126959,1907,5,14,"Spring",2
"USGS-02055000",1907-05-15,510,0.946196660482375,0.997105200656751,1907,5,15,"Spring",2
"USGS-02055000",1907-05-16,455,0.892156862745098,0.942887351018839,1907,5,16,"Spring",2
"USGS-02055000",1907-05-17,430,0.945054945054945,1.05929235599565,1907,5,17,"Spring",2
"USGS-02055000",1907-05-18,404,0.93953488372093,0.994159004867496,1907,5,18,"Spring",2
"USGS-02055000",1908-09-11,264,0.851612903225806,0.988969823100936,1908,9,11,"Fall",3
"USGS-02055000",1908-09-12,224,0.848484848484849,0.996326905417815,1908,9,12,"Fall",3
"USGS-02055000",1908-09-13,205,0.915178571428571,1.07860331632653,1908,9,13,"Fall",3
"USGS-02055000",1908-09-14,205,1,1.09268292682927,1908,9,14,"Fall",3
"USGS-02055000",1908-09-15,186,0.907317073170732,0.907317073170732,1908,9,15,"Fall",3
"USGS-02055000",1908-09-16,169,0.908602150537634,1.00141634871083,1908,9,16,"Fall",3
"USGS-02055000",1908-09-17,162,0.958579881656805,1.05500507685305,1908,9,17,"Fall",3
"USGS-02055000",1908-09-18,159,0.981481481481482,1.02389117512574,1908,9,18,"Fall",3
"USGS-02055000",1908-09-19,152,0.955974842767296,0.974012103951584,1908,9,19,"Fall",3
"USGS-02055000",1908-09-20,152,1,1.04605263157895,1908,9,20,"Fall",3
"USGS-02055000",1908-09-21,152,1,1,1908,9,21,"Fall",3
"USGS-02055000",1908-09-22,152,1,1,1908,9,22,"Fall",3
"USGS-02055000",1908-09-23,149,0.980263157894737,0.980263157894737,1908,9,23,"Fall",3
"USGS-02055000",1908-09-24,143,0.959731543624161,0.979054997522634,1908,9,24,"Fall",3
"USGS-02055000",1908-09-25,137,0.958041958041958,0.998239522715047,1908,9,25,"Fall",3
"USGS-02055000",1908-09-26,137,1,1.04379562043796,1908,9,26,"Fall",3
"USGS-02055000",1908-09-27,134,0.978102189781022,0.978102189781022,1908,9,27,"Fall",3
"USGS-02055000",1908-09-28,186,1.38805970149254,1.41913566495879,1908,9,28,"Fall",3
"USGS-02055000",1908-09-29,186,1,0.720430107526882,1908,9,29,"Fall",3
"USGS-02055000",1908-09-30,169,0.908602150537634,0.908602150537634,1908,9,30,"Fall",3
"USGS-02055000",1908-10-01,152,0.899408284023669,0.989881306676937,1908,10,1,"Fall",3
"USGS-02055000",1919-07-29,289,0.897515527950311,1.02015740133483,1919,7,29,"Summer",4
"USGS-02055000",1919-07-30,261,0.903114186851211,1.0062379521318,1919,7,30,"Summer",4
"USGS-02055000",1919-07-31,238,0.911877394636015,1.00970332202992,1919,7,31,"Summer",4
"USGS-02055000",1919-08-01,985,4.13865546218487,4.53860956147165,1919,8,1,"Summer",4
"USGS-02055000",1919-08-02,541,0.549238578680203,0.132709423071968,1919,8,2,"Summer",4
"USGS-02055000",1919-08-03,417,0.770794824399261,1.40338798897093,1919,8,3,"Summer",4
"USGS-02055000",1919-08-04,322,0.772182254196643,1.00179999884984,1919,8,4,"Summer",4
"USGS-02055000",1919-08-05,281,0.872670807453416,1.13013579723005,1919,8,5,"Summer",4
"USGS-02055000",1919-08-06,250,0.889679715302491,1.01949063461709,1919,8,6,"Summer",4
"USGS-02055000",1919-08-07,250,1,1.124,1919,8,7,"Summer",4
"USGS-02055000",1919-08-08,212,0.848,0.848,1919,8,8,"Summer",4
"USGS-02055000",1919-08-09,198,0.933962264150943,1.10137059451762,1919,8,9,"Summer",4
"USGS-02055000",1919-08-10,188,0.94949494949495,1.0166309560249,1919,8,10,"Summer",4
"USGS-02055000",1919-08-11,178,0.946808510638298,0.997170665459484,1919,8,11,"Summer",4
"USGS-02055000",1919-10-20,134,0.978102189781022,0.978102189781022,1919,10,20,"Fall",5
"USGS-02055000",1919-10-21,130,0.970149253731343,0.991869013143239,1919,10,21,"Fall",5
"USGS-02055000",1919-10-22,124,0.953846153846154,0.983195266272189,1919,10,22,"Fall",5
"USGS-02055000",1919-10-23,121,0.975806451612903,1.02302289281998,1919,10,23,"Fall",5
"USGS-02055000",1919-10-24,116,0.958677685950413,0.982446554197118,1919,10,24,"Fall",5
"USGS-02055000",1919-10-25,114,0.982758620689655,1.02511890606421,1919,10,25,"Fall",5
"USGS-02055000",1919-10-26,108,0.947368421052632,0.96398891966759,1919,10,26,"Fall",5
"USGS-02055000",1919-10-27,106,0.981481481481482,1.03600823045267,1919,10,27,"Fall",5
"USGS-02055000",1919-10-28,103,0.971698113207547,0.990032039871841,1919,10,28,"Fall",5
"USGS-02055000",1919-10-29,101,0.980582524271845,1.0091431803186,1919,10,29,"Fall",5
"USGS-02055000",1919-10-30,98,0.97029702970297,0.989510832271346,1919,10,30,"Fall",5
"USGS-02055000",1919-10-31,96,0.979591836734694,1.00957934194086,1919,10,31,"Fall",5
"USGS-02055000",1919-11-01,93,0.96875,0.988932291666667,1919,11,1,"Fall",5
"USGS-02055000",1919-11-02,130,1.39784946236559,1.44294138050642,1919,11,2,"Fall",5
"USGS-02055000",1919-11-03,121,0.930769230769231,0.66585798816568,1919,11,3,"Fall",5
"USGS-02055000",1919-11-04,108,0.892561983471074,0.958950891332559,1919,11,4,"Fall",5
"USGS-02055000",1919-11-05,98,0.907407407407407,1.01663237311385,1919,11,5,"Fall",5
"USGS-02055000",1919-11-06,89,0.908163265306122,1.00083298625573,1919,11,6,"Fall",5
"USGS-02055000",1919-11-07,89,1,1.10112359550562,1919,11,7,"Fall",5
"USGS-02055000",1919-11-08,89,1,1,1919,11,8,"Fall",5
"USGS-02055000",1919-11-09,89,1,1,1919,11,9,"Fall",5
"USGS-02055000",1919-11-10,87,0.97752808988764,0.97752808988764,1919,11,10,"Fall",5
"USGS-02055000",1920-04-05,815,0.857894736842105,1.01141274238227,1920,4,5,"Spring",6
"USGS-02055000",1920-04-06,650,0.797546012269939,0.929654860928149,1920,4,6,"Spring",6
"USGS-02055000",1920-04-07,507,0.78,0.978,1920,4,7,"Spring",6
"USGS-02055000",1920-04-08,445,0.877712031558185,1.12527183533101,1920,4,8,"Spring",6
"USGS-02055000",1920-04-09,389,0.874157303370787,0.995950006312334,1920,4,9,"Spring",6
