"GroupID","start_date","end_date","n_days","median_flow","event_AGWRC"
1,1937-09-17,1937-09-25,4,833.5,0.960346172866781
4,1943-03-25,1943-04-09,11,1940,0.948493501977236
5,1945-10-06,1945-10-12,5,918,0.954893813872269
6,1949-11-10,1949-11-19,8,1200,0.964892709379276
9,1951-04-21,1951-05-04,8,1890,0.968134924334093
10,1956-03-25,1956-04-02,7,1310,0.956084813839281
12,1963-09-09,1963-09-23,8,349.5,0.981505853306318
14,1966-03-27,1966-04-11,9,508,0.977806146267517
15,1968-02-19,1968-02-27,7,944,0.979955850315582
18,1971-03-15,1971-03-26,5,1520,0.977744688978192
20,1971-11-05,1971-11-18,10,1250,0.949215771191002
23,1972-08-21,1972-09-03,7,750,0.971119401775426
26,1974-04-14,1974-05-01,13,1180,0.961034218737774
28,1974-09-21,1974-10-03,10,442.5,0.983620728561817
29,1974-10-21,1974-11-11,11,402,0.996562193339761
30,1975-04-10,1975-04-24,13,1490,0.968860092859325
31,1975-06-09,1975-06-24,6,756.5,0.961806892732494
34,1976-06-30,1976-07-06,4,673.5,0.949193204424158
35,1976-11-10,1976-11-26,16,1000.5,0.969604367426089
37,1977-05-12,1977-05-22,8,527,0.983404552776037
38,1977-12-24,1978-01-06,9,1310,0.938572006850215
40,1979-10-23,1979-11-01,7,1840,0.959217553366043
41,1980-02-03,1980-03-03,17,1180,0.986523486218393
44,1982-02-21,1982-03-14,10,2850,0.965198705385533
45,1982-06-26,1982-07-05,6,980,0.960962754942268
46,1983-05-04,1983-05-11,6,1970,0.939839562862734
50,1985-03-08,1985-03-21,9,976,0.96791568129674
52,1985-09-12,1985-09-29,8,389,0.979221993157743
53,1985-12-21,1986-01-06,12,1095,0.975623057197796
55,1989-05-25,1989-06-01,7,1170,0.938362074396873
56,1991-04-04,1991-04-12,8,2050,0.931068632764332
57,1991-04-18,1991-05-13,19,1220,0.969486040739662
58,1992-01-25,1992-02-13,16,694.5,0.98394782956016
59,1992-04-01,1992-04-14,11,1200,0.961834092091919
60,1993-02-02,1993-02-11,8,1315,0.963282001998662
61,1993-12-14,1993-12-29,9,1020,0.973084744897946
62,1994-04-21,1994-05-03,6,1835,0.966709638698738
63,1994-05-20,1994-06-04,14,1160,0.957556384650229
64,1994-08-31,1994-09-25,17,559,0.982948743735097
67,1995-04-15,1995-04-23,6,760,0.985879526676537
68,1995-08-15,1995-09-10,14,432.5,0.980344326618345
69,1996-04-17,1996-04-30,14,1630,0.96430438848281
72,1997-02-04,1997-02-14,5,1930,0.990331757886222
73,1997-03-27,1997-04-12,9,1580,0.963854515789422
74,1997-05-04,1997-05-22,16,1000.5,0.98143060137835
75,1997-07-08,1997-07-20,10,513.5,0.97790714496923
76,1997-11-23,1997-12-07,12,862.5,0.977381906206261
77,1998-07-24,1998-08-07,12,589.5,0.984513722998848
80,1999-10-19,1999-10-30,8,786,0.971736203593196
81,1999-11-14,1999-11-21,6,606.5,0.965361017190942
82,2000-03-02,2000-03-11,8,891.5,0.963069999494312
83,2000-10-11,2000-10-22,8,607.5,0.972437152623962
84,2001-04-30,2001-05-15,15,821,0.978067042980869
85,2001-09-06,2001-09-24,15,554,0.984827321784484
86,2001-12-19,2002-01-03,10,317.5,0.985180175811866
87,2002-02-14,2002-03-01,11,300,0.992883800288549
89,2003-01-13,2003-01-25,8,1240,0.956857001536049
90,2003-01-30,2003-02-14,12,793.5,0.990562813324578
91,2003-10-08,2003-10-11,4,1480,0.954789316274651
93,2004-01-05,2004-01-17,10,1625,0.970545785726328
94,2004-10-19,2004-11-03,12,947.5,0.989737887076341
95,2005-01-03,2005-01-13,9,1310,0.977302802955685
96,2005-01-29,2005-02-13,12,1225,0.988322187139811
97,2005-04-09,2005-04-21,8,2070,0.947974380254972
98,2005-05-06,2005-05-19,11,1160,0.96452931707149
100,2005-09-15,2005-10-06,12,357.5,0.982846328008142
101,2006-03-07,2006-04-07,28,793.5,0.989979894423246
103,2006-06-08,2006-06-20,8,435,0.985690731500958
104,2006-09-12,2006-09-22,7,780,0.960366502198542
106,2006-12-11,2006-12-21,8,1195,0.977051684138417
107,2007-04-26,2007-05-17,12,1315,0.974398345068043
108,2007-09-30,2007-10-21,16,359.5,0.990934276032841
111,2008-12-30,2009-01-04,6,729.5,0.966367131647769
112,2009-01-26,2009-02-07,7,644,0.982830776760525
116,2010-04-10,2010-04-19,9,1460,0.953911144639704
117,2010-06-24,2010-07-08,8,427,0.974395086633317
120,2011-02-09,2011-02-18,8,785,0.961942571324994
121,2012-01-21,2012-02-21,20,1345,0.982472541512611
123,2012-04-12,2012-04-17,6,1015,0.97449625329325
124,2012-11-26,2012-12-08,8,559.5,0.990599041716232
125,2013-02-15,2013-02-24,9,938,0.97473274044051
126,2013-03-26,2013-04-11,9,1910,0.972527635532383
127,2013-07-28,2013-08-12,11,855,0.962399959827983
129,2014-10-27,2014-11-05,10,512,0.990290791219355
131,2015-01-08,2015-01-23,9,874,0.966340666312597
132,2015-01-31,2015-02-14,8,1130,0.978267949108905
133,2015-03-18,2015-04-03,11,1880,0.974297079686101
135,2016-04-01,2016-04-27,20,983.5,0.98215768804538
136,2016-08-27,2016-09-14,11,478,0.980363247794461
137,2017-11-18,2017-12-03,9,411,0.988748763472489
138,2017-12-14,2017-12-29,10,360.5,0.994394837280957
139,2018-07-03,2018-07-11,8,1140,0.940303891654298
141,2019-04-02,2019-04-12,6,1855,0.977540340738737
142,2019-05-23,2019-05-31,5,1410,0.970050768284559
143,2019-11-11,2019-11-17,7,602,0.970647772799229
145,2020-06-23,2020-07-10,7,915,0.917503573320327
147,2021-01-12,2021-01-25,12,1610,0.960545025682746
148,2021-03-16,2021-03-27,9,1690,0.985890123000496
149,2021-04-24,2021-05-03,6,1350,0.958849120574507
150,2021-05-12,2021-05-24,12,879,0.969908494242668
152,2021-12-02,2021-12-16,12,598.5,0.983830513179782
154,2022-12-31,2023-01-24,14,1075,0.97616104418094
155,2023-05-15,2023-05-28,11,712,0.952632712286609
157,2024-04-25,2024-05-03,7,868,0.955083432728709
158,2024-10-29,2024-11-13,9,653,0.986483245891211
161,2025-04-20,2025-05-01,10,721.5,0.979600501656685
162,2025-08-31,2025-09-16,12,408.5,0.987193083322612
163,2026-03-23,2026-04-17,17,904,0.968598735283999
