"Date","Flow","site_no","site_name","area_sqmi"
1984-10-02,225.043722,"01634000","Strasburg",773.6752
1984-10-03,320.859193,"01634000","Strasburg",773.6752
1984-10-04,384.877647,"01634000","Strasburg",773.6752
1984-10-05,423.533884,"01634000","Strasburg",773.6752
1984-10-06,418.514845,"01634000","Strasburg",773.6752
1984-10-07,395.879861,"01634000","Strasburg",773.6752
1984-10-08,369.672661,"01634000","Strasburg",773.6752
1984-10-09,344.882472,"01634000","Strasburg",773.6752
1984-10-10,322.614504,"01634000","Strasburg",773.6752
1984-10-11,302.99547,"01634000","Strasburg",773.6752
1984-10-12,285.76758,"01634000","Strasburg",773.6752
1984-10-13,270.441871,"01634000","Strasburg",773.6752
1984-10-14,256.37236,"01634000","Strasburg",773.6752
1984-10-15,243.092419,"01634000","Strasburg",773.6752
1984-10-16,230.411001,"01634000","Strasburg",773.6752
1984-10-17,218.290679,"01634000","Strasburg",773.6752
1984-10-18,207.232361,"01634000","Strasburg",773.6752
1984-10-19,197.619006,"01634000","Strasburg",773.6752
1984-10-20,188.887101,"01634000","Strasburg",773.6752
1984-10-21,180.560504,"01634000","Strasburg",773.6752
1984-10-22,172.532826,"01634000","Strasburg",773.6752
1984-10-23,172.762346,"01634000","Strasburg",773.6752
1984-10-24,195.448576,"01634000","Strasburg",773.6752
1984-10-25,229.5212,"01634000","Strasburg",773.6752
1984-10-26,254.021032,"01634000","Strasburg",773.6752
1984-10-27,267.648918,"01634000","Strasburg",773.6752
1984-10-28,269.443293,"01634000","Strasburg",773.6752
1984-10-29,261.448868,"01634000","Strasburg",773.6752
1984-10-30,271.733802,"01634000","Strasburg",773.6752
1984-10-31,287.581537,"01634000","Strasburg",773.6752
1984-11-01,292.439712,"01634000","Strasburg",773.6752
1984-11-02,295.059701,"01634000","Strasburg",773.6752
1984-11-03,286.487119,"01634000","Strasburg",773.6752
1984-11-04,272.901745,"01634000","Strasburg",773.6752
1984-11-05,260.53983,"01634000","Strasburg",773.6752
1984-11-06,267.122297,"01634000","Strasburg",773.6752
1984-11-07,280.119289,"01634000","Strasburg",773.6752
1984-11-08,286.212495,"01634000","Strasburg",773.6752
1984-11-09,290.715539,"01634000","Strasburg",773.6752
1984-11-10,287.316866,"01634000","Strasburg",773.6752
1984-11-11,279.664249,"01634000","Strasburg",773.6752
1984-11-12,270.165854,"01634000","Strasburg",773.6752
1984-11-13,261.089076,"01634000","Strasburg",773.6752
1984-11-14,253.697492,"01634000","Strasburg",773.6752
1984-11-15,247.073385,"01634000","Strasburg",773.6752
1984-11-16,240.2423,"01634000","Strasburg",773.6752
1984-11-17,233.160862,"01634000","Strasburg",773.6752
1984-11-18,225.884902,"01634000","Strasburg",773.6752
1984-11-19,221.316785,"01634000","Strasburg",773.6752
1984-11-20,239.585455,"01634000","Strasburg",773.6752
1984-11-21,264.780272,"01634000","Strasburg",773.6752
1984-11-22,280.246974,"01634000","Strasburg",773.6752
1984-11-23,290.984333,"01634000","Strasburg",773.6752
1984-11-24,287.881504,"01634000","Strasburg",773.6752
1984-11-25,278.748942,"01634000","Strasburg",773.6752
1984-11-26,267.857002,"01634000","Strasburg",773.6752
1984-11-27,257.746693,"01634000","Strasburg",773.6752
1984-11-28,271.977026,"01634000","Strasburg",773.6752
1984-11-29,373.672157,"01634000","Strasburg",773.6752
1984-11-30,641.330392,"01634000","Strasburg",773.6752
1984-12-01,938.058071,"01634000","Strasburg",773.6752
1984-12-02,1097.020433,"01634000","Strasburg",773.6752
1984-12-03,1102.437883,"01634000","Strasburg",773.6752
1984-12-04,980.733082,"01634000","Strasburg",773.6752
1984-12-05,849.176252,"01634000","Strasburg",773.6752
1984-12-06,744.323758,"01634000","Strasburg",773.6752
1984-12-07,669.227903,"01634000","Strasburg",773.6752
1984-12-08,614.411835,"01634000","Strasburg",773.6752
1984-12-09,574.358279,"01634000","Strasburg",773.6752
1984-12-10,552.810389,"01634000","Strasburg",773.6752
1984-12-11,550.481368,"01634000","Strasburg",773.6752
1984-12-12,562.83019,"01634000","Strasburg",773.6752
1984-12-13,581.368382,"01634000","Strasburg",773.6752
1984-12-14,597.388475,"01634000","Strasburg",773.6752
1984-12-15,603.769345,"01634000","Strasburg",773.6752
1984-12-16,595.15063,"01634000","Strasburg",773.6752
1984-12-17,576.294394,"01634000","Strasburg",773.6752
1984-12-18,553.60928,"01634000","Strasburg",773.6752
1984-12-19,530.704483,"01634000","Strasburg",773.6752
1984-12-20,509.955352,"01634000","Strasburg",773.6752
1984-12-21,492.876165,"01634000","Strasburg",773.6752
1984-12-22,500.425986,"01634000","Strasburg",773.6752
1984-12-23,529.152631,"01634000","Strasburg",773.6752
1984-12-24,560.959935,"01634000","Strasburg",773.6752
1984-12-25,584.410039,"01634000","Strasburg",773.6752
1984-12-26,581.988172,"01634000","Strasburg",773.6752
1984-12-27,561.278359,"01634000","Strasburg",773.6752
1984-12-28,535.397057,"01634000","Strasburg",773.6752
1984-12-29,509.995664,"01634000","Strasburg",773.6752
1984-12-30,485.13327,"01634000","Strasburg",773.6752
1984-12-31,462.065234,"01634000","Strasburg",773.6752
1985-01-01,441.40827,"01634000","Strasburg",773.6752
1985-01-02,428.406007,"01634000","Strasburg",773.6752
1985-01-03,457.270294,"01634000","Strasburg",773.6752
1985-01-04,516.95563,"01634000","Strasburg",773.6752
1985-01-05,575.452638,"01634000","Strasburg",773.6752
1985-01-06,641.629728,"01634000","Strasburg",773.6752
1985-01-07,682.292535,"01634000","Strasburg",773.6752
1985-01-08,685.773416,"01634000","Strasburg",773.6752
1985-01-09,672.005812,"01634000","Strasburg",773.6752
1985-01-10,645.903901,"01634000","Strasburg",773.6752
1985-01-11,617.893864,"01634000","Strasburg",773.6752
1985-01-12,591.096779,"01634000","Strasburg",773.6752
1985-01-13,564.63566,"01634000","Strasburg",773.6752
1985-01-14,539.552611,"01634000","Strasburg",773.6752
1985-01-15,516.649046,"01634000","Strasburg",773.6752
1985-01-16,495.999587,"01634000","Strasburg",773.6752
1985-01-17,477.317785,"01634000","Strasburg",773.6752
1985-01-18,460.257697,"01634000","Strasburg",773.6752
1985-01-19,444.439812,"01634000","Strasburg",773.6752
1985-01-20,431.403163,"01634000","Strasburg",773.6752
1985-01-21,421.408932,"01634000","Strasburg",773.6752
1985-01-22,412.04265,"01634000","Strasburg",773.6752
1985-01-23,402.026059,"01634000","Strasburg",773.6752
1985-01-24,390.585716,"01634000","Strasburg",773.6752
1985-01-25,377.989559,"01634000","Strasburg",773.6752
1985-01-26,367.871282,"01634000","Strasburg",773.6752
1985-01-27,359.727542,"01634000","Strasburg",773.6752
1985-01-28,350.249088,"01634000","Strasburg",773.6752
1985-01-29,340.120071,"01634000","Strasburg",773.6752
1985-01-30,329.699388,"01634000","Strasburg",773.6752
1985-01-31,319.049116,"01634000","Strasburg",773.6752
1985-02-01,325.388826,"01634000","Strasburg",773.6752
1985-02-02,397.297903,"01634000","Strasburg",773.6752
1985-02-03,497.021087,"01634000","Strasburg",773.6752
1985-02-04,572.764548,"01634000","Strasburg",773.6752
1985-02-05,607.877724,"01634000","Strasburg",773.6752
1985-02-06,578.276332,"01634000","Strasburg",773.6752
1985-02-07,535.479853,"01634000","Strasburg",773.6752
1985-02-08,502.660473,"01634000","Strasburg",773.6752
1985-02-09,479.02269,"01634000","Strasburg",773.6752
1985-02-10,459.258013,"01634000","Strasburg",773.6752
1985-02-11,433.925831,"01634000","Strasburg",773.6752
1985-02-12,412.511558,"01634000","Strasburg",773.6752
1985-02-13,1199.767062,"01634000","Strasburg",773.6752
1985-02-14,2767.349194,"01634000","Strasburg",773.6752
1985-02-15,3779.932215,"01634000","Strasburg",773.6752
1985-02-16,3743.421446,"01634000","Strasburg",773.6752
1985-02-17,2778.263413,"01634000","Strasburg",773.6752
1985-02-18,1963.753368,"01634000","Strasburg",773.6752
1985-02-19,1422.923604,"01634000","Strasburg",773.6752
1985-02-20,1084.565698,"01634000","Strasburg",773.6752
1985-02-21,877.598124,"01634000","Strasburg",773.6752
1985-02-22,752.932125,"01634000","Strasburg",773.6752
1985-02-23,712.347479,"01634000","Strasburg",773.6752
1985-02-24,760.737268,"01634000","Strasburg",773.6752
1985-02-25,858.894027,"01634000","Strasburg",773.6752
1985-02-26,996.76134,"01634000","Strasburg",773.6752
1985-02-27,1135.378679,"01634000","Strasburg",773.6752
1985-02-28,1185.513307,"01634000","Strasburg",773.6752
1985-03-01,1142.534286,"01634000","Strasburg",773.6752
1985-03-02,1059.033746,"01634000","Strasburg",773.6752
1985-03-03,967.083557,"01634000","Strasburg",773.6752
1985-03-04,884.972678,"01634000","Strasburg",773.6752
1985-03-05,817.894043,"01634000","Strasburg",773.6752
1985-03-06,764.586389,"01634000","Strasburg",773.6752
1985-03-07,721.661434,"01634000","Strasburg",773.6752
1985-03-08,686.029722,"01634000","Strasburg",773.6752
1985-03-09,655.385388,"01634000","Strasburg",773.6752
1985-03-10,628.168303,"01634000","Strasburg",773.6752
1985-03-11,603.320978,"01634000","Strasburg",773.6752
1985-03-12,580.110477,"01634000","Strasburg",773.6752
1985-03-13,561.909209,"01634000","Strasburg",773.6752
1985-03-14,548.354751,"01634000","Strasburg",773.6752
1985-03-15,537.433891,"01634000","Strasburg",773.6752
1985-03-16,526.944479,"01634000","Strasburg",773.6752
1985-03-17,513.19782,"01634000","Strasburg",773.6752
1985-03-18,497.24493,"01634000","Strasburg",773.6752
1985-03-19,480.271907,"01634000","Strasburg",773.6752
1985-03-20,463.091742,"01634000","Strasburg",773.6752
1985-03-21,446.136423,"01634000","Strasburg",773.6752
1985-03-22,429.640834,"01634000","Strasburg",773.6752
1985-03-23,419.076551,"01634000","Strasburg",773.6752
1985-03-24,453.187345,"01634000","Strasburg",773.6752
1985-03-25,511.192403,"01634000","Strasburg",773.6752
1985-03-26,562.998417,"01634000","Strasburg",773.6752
1985-03-27,618.937185,"01634000","Strasburg",773.6752
1985-03-28,660.186909,"01634000","Strasburg",773.6752
1985-03-29,679.569753,"01634000","Strasburg",773.6752
1985-03-30,671.310652,"01634000","Strasburg",773.6752
1985-03-31,645.420167,"01634000","Strasburg",773.6752
1985-04-01,616.577767,"01634000","Strasburg",773.6752
1985-04-02,599.950849,"01634000","Strasburg",773.6752
1985-04-03,587.239993,"01634000","Strasburg",773.6752
1985-04-04,570.300963,"01634000","Strasburg",773.6752
1985-04-05,553.589068,"01634000","Strasburg",773.6752
1985-04-06,533.595226,"01634000","Strasburg",773.6752
1985-04-07,512.512808,"01634000","Strasburg",773.6752
1985-04-08,491.713107,"01634000","Strasburg",773.6752
1985-04-09,471.710234,"01634000","Strasburg",773.6752
1985-04-10,452.667419,"01634000","Strasburg",773.6752
1985-04-11,434.714226,"01634000","Strasburg",773.6752
1985-04-12,417.869764,"01634000","Strasburg",773.6752
1985-04-13,402.025507,"01634000","Strasburg",773.6752
1985-04-14,386.951226,"01634000","Strasburg",773.6752
1985-04-15,372.325413,"01634000","Strasburg",773.6752
1985-04-16,357.959162,"01634000","Strasburg",773.6752
1985-04-17,343.893166,"01634000","Strasburg",773.6752
1985-04-18,330.370015,"01634000","Strasburg",773.6752
1985-04-19,317.741379,"01634000","Strasburg",773.6752
1985-04-20,305.93429,"01634000","Strasburg",773.6752
1985-04-21,294.366264,"01634000","Strasburg",773.6752
1985-04-22,282.523616,"01634000","Strasburg",773.6752
1985-04-23,270.193421,"01634000","Strasburg",773.6752
1985-04-24,257.331611,"01634000","Strasburg",773.6752
1985-04-25,243.998361,"01634000","Strasburg",773.6752
1985-04-26,232.01346,"01634000","Strasburg",773.6752
1985-04-27,221.752143,"01634000","Strasburg",773.6752
1985-04-28,213.148628,"01634000","Strasburg",773.6752
1985-04-29,205.594829,"01634000","Strasburg",773.6752
1985-04-30,197.622108,"01634000","Strasburg",773.6752
1985-05-01,189.652366,"01634000","Strasburg",773.6752
1985-05-02,181.819894,"01634000","Strasburg",773.6752
1985-05-03,182.911491,"01634000","Strasburg",773.6752
1985-05-04,224.371727,"01634000","Strasburg",773.6752
1985-05-05,286.903629,"01634000","Strasburg",773.6752
1985-05-06,345.806755,"01634000","Strasburg",773.6752
1985-05-07,395.023763,"01634000","Strasburg",773.6752
1985-05-08,408.546882,"01634000","Strasburg",773.6752
1985-05-09,401.036819,"01634000","Strasburg",773.6752
1985-05-10,384.037306,"01634000","Strasburg",773.6752
1985-05-11,363.928922,"01634000","Strasburg",773.6752
1985-05-12,348.665952,"01634000","Strasburg",773.6752
1985-05-13,336.753026,"01634000","Strasburg",773.6752
1985-05-14,341.172832,"01634000","Strasburg",773.6752
1985-05-15,348.196333,"01634000","Strasburg",773.6752
1985-05-16,341.721973,"01634000","Strasburg",773.6752
1985-05-17,338.305929,"01634000","Strasburg",773.6752
1985-05-18,369.561931,"01634000","Strasburg",773.6752
1985-05-19,415.107766,"01634000","Strasburg",773.6752
1985-05-20,447.637528,"01634000","Strasburg",773.6752
1985-05-21,469.898205,"01634000","Strasburg",773.6752
1985-05-22,460.393006,"01634000","Strasburg",773.6752
1985-05-23,433.468225,"01634000","Strasburg",773.6752
1985-05-24,449.312619,"01634000","Strasburg",773.6752
1985-05-25,510.330395,"01634000","Strasburg",773.6752
1985-05-26,601.712213,"01634000","Strasburg",773.6752
1985-05-27,705.251976,"01634000","Strasburg",773.6752
1985-05-28,738.999445,"01634000","Strasburg",773.6752
1985-05-29,703.583969,"01634000","Strasburg",773.6752
1985-05-30,641.013907,"01634000","Strasburg",773.6752
1985-05-31,579.612403,"01634000","Strasburg",773.6752
1985-06-01,726.648511,"01634000","Strasburg",773.6752
1985-06-02,992.992634,"01634000","Strasburg",773.6752
1985-06-03,1178.637939,"01634000","Strasburg",773.6752
1985-06-04,1251.628222,"01634000","Strasburg",773.6752
1985-06-05,1116.013666,"01634000","Strasburg",773.6752
1985-06-06,941.188761,"01634000","Strasburg",773.6752
1985-06-07,804.344694,"01634000","Strasburg",773.6752
1985-06-08,704.084283,"01634000","Strasburg",773.6752
1985-06-09,635.763654,"01634000","Strasburg",773.6752
1985-06-10,585.350666,"01634000","Strasburg",773.6752
1985-06-11,542.42378,"01634000","Strasburg",773.6752
1985-06-12,505.88704,"01634000","Strasburg",773.6752
1985-06-13,474.870362,"01634000","Strasburg",773.6752
1985-06-14,449.72214,"01634000","Strasburg",773.6752
1985-06-15,427.341064,"01634000","Strasburg",773.6752
1985-06-16,405.795625,"01634000","Strasburg",773.6752
1985-06-17,385.191098,"01634000","Strasburg",773.6752
1985-06-18,365.423885,"01634000","Strasburg",773.6752
1985-06-19,346.289575,"01634000","Strasburg",773.6752
1985-06-20,327.50672,"01634000","Strasburg",773.6752
1985-06-21,308.997084,"01634000","Strasburg",773.6752
1985-06-22,290.839251,"01634000","Strasburg",773.6752
1985-06-23,273.169582,"01634000","Strasburg",773.6752
1985-06-24,256.326017,"01634000","Strasburg",773.6752
1985-06-25,242.139734,"01634000","Strasburg",773.6752
1985-06-26,231.378241,"01634000","Strasburg",773.6752
1985-06-27,221.502915,"01634000","Strasburg",773.6752
1985-06-28,211.05564,"01634000","Strasburg",773.6752
1985-06-29,200.549202,"01634000","Strasburg",773.6752
1985-06-30,190.354976,"01634000","Strasburg",773.6752
1985-07-01,180.661301,"01634000","Strasburg",773.6752
1985-07-02,176.364531,"01634000","Strasburg",773.6752
1985-07-03,175.769104,"01634000","Strasburg",773.6752
1985-07-04,177.512087,"01634000","Strasburg",773.6752
1985-07-05,179.90329,"01634000","Strasburg",773.6752
1985-07-06,178.203896,"01634000","Strasburg",773.6752
1985-07-07,174.455848,"01634000","Strasburg",773.6752
1985-07-08,168.85249,"01634000","Strasburg",773.6752
1985-07-09,163.940741,"01634000","Strasburg",773.6752
1985-07-10,172.294282,"01634000","Strasburg",773.6752
1985-07-11,189.887016,"01634000","Strasburg",773.6752
1985-07-12,208.989153,"01634000","Strasburg",773.6752
1985-07-13,244.423482,"01634000","Strasburg",773.6752
1985-07-14,290.662639,"01634000","Strasburg",773.6752
1985-07-15,342.676072,"01634000","Strasburg",773.6752
1985-07-16,380.89175,"01634000","Strasburg",773.6752
1985-07-17,381.039648,"01634000","Strasburg",773.6752
1985-07-18,359.700617,"01634000","Strasburg",773.6752
1985-07-19,331.545284,"01634000","Strasburg",773.6752
1985-07-20,303.026397,"01634000","Strasburg",773.6752
1985-07-21,276.303392,"01634000","Strasburg",773.6752
1985-07-22,251.876057,"01634000","Strasburg",773.6752
1985-07-23,229.507106,"01634000","Strasburg",773.6752
1985-07-24,208.994562,"01634000","Strasburg",773.6752
1985-07-25,190.470588,"01634000","Strasburg",773.6752
1985-07-26,191.371118,"01634000","Strasburg",773.6752
1985-07-27,221.153442,"01634000","Strasburg",773.6752
1985-07-28,258.073388,"01634000","Strasburg",773.6752
1985-07-29,288.014206,"01634000","Strasburg",773.6752
1985-07-30,308.02159,"01634000","Strasburg",773.6752
1985-07-31,313.690749,"01634000","Strasburg",773.6752
1985-08-01,309.688602,"01634000","Strasburg",773.6752
1985-08-02,301.018435,"01634000","Strasburg",773.6752
1985-08-03,289.901577,"01634000","Strasburg",773.6752
1985-08-04,277.436822,"01634000","Strasburg",773.6752
1985-08-05,263.787923,"01634000","Strasburg",773.6752
1985-08-06,250.306571,"01634000","Strasburg",773.6752
1985-08-07,236.887519,"01634000","Strasburg",773.6752
1985-08-08,223.183699,"01634000","Strasburg",773.6752
1985-08-09,218.048057,"01634000","Strasburg",773.6752
1985-08-10,214.168304,"01634000","Strasburg",773.6752
1985-08-11,204.878037,"01634000","Strasburg",773.6752
1985-08-12,195.990463,"01634000","Strasburg",773.6752
1985-08-13,185.089983,"01634000","Strasburg",773.6752
1985-08-14,173.674326,"01634000","Strasburg",773.6752
1985-08-15,162.488098,"01634000","Strasburg",773.6752
1985-08-16,151.864366,"01634000","Strasburg",773.6752
1985-08-17,141.952594,"01634000","Strasburg",773.6752
1985-08-18,132.905582,"01634000","Strasburg",773.6752
1985-08-19,154.066433,"01634000","Strasburg",773.6752
1985-08-20,211.869484,"01634000","Strasburg",773.6752
1985-08-21,285.451298,"01634000","Strasburg",773.6752
1985-08-22,358.660994,"01634000","Strasburg",773.6752
1985-08-23,395.709458,"01634000","Strasburg",773.6752
1985-08-24,397.522642,"01634000","Strasburg",773.6752
1985-08-25,381.481336,"01634000","Strasburg",773.6752
1985-08-26,372.992626,"01634000","Strasburg",773.6752
1985-08-27,369.26202,"01634000","Strasburg",773.6752
1985-08-28,365.672857,"01634000","Strasburg",773.6752
1985-08-29,362.868072,"01634000","Strasburg",773.6752
1985-08-30,349.421831,"01634000","Strasburg",773.6752
1985-08-31,332.959089,"01634000","Strasburg",773.6752
1985-09-01,315.190719,"01634000","Strasburg",773.6752
1985-09-02,297.324497,"01634000","Strasburg",773.6752
1985-09-03,279.64242,"01634000","Strasburg",773.6752
1985-09-04,262.335476,"01634000","Strasburg",773.6752
1985-09-05,245.406512,"01634000","Strasburg",773.6752
1985-09-06,228.749298,"01634000","Strasburg",773.6752
1985-09-07,212.276415,"01634000","Strasburg",773.6752
1985-09-08,196.117787,"01634000","Strasburg",773.6752
1985-09-09,180.726522,"01634000","Strasburg",773.6752
1985-09-10,166.753277,"01634000","Strasburg",773.6752
1985-09-11,154.42605,"01634000","Strasburg",773.6752
1985-09-12,143.511624,"01634000","Strasburg",773.6752
1985-09-13,133.818719,"01634000","Strasburg",773.6752
1985-09-14,125.194748,"01634000","Strasburg",773.6752
1985-09-15,117.517221,"01634000","Strasburg",773.6752
1985-09-16,110.631673,"01634000","Strasburg",773.6752
1985-09-17,104.412038,"01634000","Strasburg",773.6752
1985-09-18,98.755081,"01634000","Strasburg",773.6752
1985-09-19,93.566848,"01634000","Strasburg",773.6752
1985-09-20,88.761989,"01634000","Strasburg",773.6752
1985-09-21,84.279495,"01634000","Strasburg",773.6752
1985-09-22,80.037791,"01634000","Strasburg",773.6752
1985-09-23,76.014411,"01634000","Strasburg",773.6752
1985-09-24,72.22683,"01634000","Strasburg",773.6752
1985-09-25,68.691456,"01634000","Strasburg",773.6752
1985-09-26,65.424963,"01634000","Strasburg",773.6752
1985-09-27,62.411012,"01634000","Strasburg",773.6752
1985-09-28,67.618187,"01634000","Strasburg",773.6752
1985-09-29,72.781909,"01634000","Strasburg",773.6752
1985-09-30,69.924632,"01634000","Strasburg",773.6752
1985-10-01,67.370668,"01634000","Strasburg",773.6752
1985-10-02,64.481199,"01634000","Strasburg",773.6752
1985-10-03,71.909222,"01634000","Strasburg",773.6752
1985-10-04,88.601728,"01634000","Strasburg",773.6752
1985-10-05,104.72877,"01634000","Strasburg",773.6752
1985-10-06,118.563096,"01634000","Strasburg",773.6752
1985-10-07,126.5375,"01634000","Strasburg",773.6752
