"X","monitoring_location_id","parameter_code","obs_date","obs_flow","unit_of_measure","approval_status","yr","mo","da","dra","Date","Flow","AGWR","delta_AGWR","Month","Season","RecessionDay","Year","Day"
1,"USGS-03524000",60,"1920-10-01",270,"ft^3/s","Approved",1920,10,1,533,1920-10-01,270,NA,NA,"10","Fall",FALSE,1920,1
2,"USGS-03524000",60,"1920-10-02",250,"ft^3/s","Approved",1920,10,2,533,1920-10-02,250,0.925925925925926,NA,"10","Fall",FALSE,1920,2
3,"USGS-03524000",60,"1920-10-03",250,"ft^3/s","Approved",1920,10,3,533,1920-10-03,250,1,1.08,"10","Fall",FALSE,1920,3
4,"USGS-03524000",60,"1920-10-04",210,"ft^3/s","Approved",1920,10,4,533,1920-10-04,210,0.84,0.84,"10","Fall",FALSE,1920,4
5,"USGS-03524000",60,"1920-10-05",210,"ft^3/s","Approved",1920,10,5,533,1920-10-05,210,1,1.19047619047619,"10","Fall",FALSE,1920,5
6,"USGS-03524000",60,"1920-10-06",210,"ft^3/s","Approved",1920,10,6,533,1920-10-06,210,1,1,"10","Fall",FALSE,1920,6
7,"USGS-03524000",60,"1920-10-07",190,"ft^3/s","Approved",1920,10,7,533,1920-10-07,190,0.904761904761905,0.904761904761905,"10","Fall",FALSE,1920,7
8,"USGS-03524000",60,"1920-10-08",190,"ft^3/s","Approved",1920,10,8,533,1920-10-08,190,1,1.10526315789474,"10","Fall",FALSE,1920,8
9,"USGS-03524000",60,"1920-10-09",190,"ft^3/s","Approved",1920,10,9,533,1920-10-09,190,1,1,"10","Fall",FALSE,1920,9
10,"USGS-03524000",60,"1920-10-10",190,"ft^3/s","Approved",1920,10,10,533,1920-10-10,190,1,1,"10","Fall",FALSE,1920,10
11,"USGS-03524000",60,"1920-10-11",190,"ft^3/s","Approved",1920,10,11,533,1920-10-11,190,1,1,"10","Fall",FALSE,1920,11
12,"USGS-03524000",60,"1920-10-12",170,"ft^3/s","Approved",1920,10,12,533,1920-10-12,170,0.894736842105263,0.894736842105263,"10","Fall",FALSE,1920,12
13,"USGS-03524000",60,"1920-10-13",170,"ft^3/s","Approved",1920,10,13,533,1920-10-13,170,1,1.11764705882353,"10","Fall",FALSE,1920,13
14,"USGS-03524000",60,"1920-10-14",170,"ft^3/s","Approved",1920,10,14,533,1920-10-14,170,1,1,"10","Fall",FALSE,1920,14
15,"USGS-03524000",60,"1920-10-15",170,"ft^3/s","Approved",1920,10,15,533,1920-10-15,170,1,1,"10","Fall",FALSE,1920,15
16,"USGS-03524000",60,"1920-10-16",170,"ft^3/s","Approved",1920,10,16,533,1920-10-16,170,1,1,"10","Fall",FALSE,1920,16
17,"USGS-03524000",60,"1920-10-17",150,"ft^3/s","Approved",1920,10,17,533,1920-10-17,150,0.882352941176471,0.882352941176471,"10","Fall",FALSE,1920,17
18,"USGS-03524000",60,"1920-10-18",150,"ft^3/s","Approved",1920,10,18,533,1920-10-18,150,1,1.13333333333333,"10","Fall",FALSE,1920,18
19,"USGS-03524000",60,"1920-10-19",150,"ft^3/s","Approved",1920,10,19,533,1920-10-19,150,1,1,"10","Fall",FALSE,1920,19
