"site_no","Date","Flow","AGWR","delta_AGWR","Year","Month","Day","Season","GroupID","calc_AGWR","R_squared"
"USGS-01634000",1925-05-03,1880,0.641638225255973,0.97012195832217,1925,5,3,"Spring",1,0.641638225255973,0.869280562111621
"USGS-01634000",1925-05-06,940,0.810344827586207,0.978002378121284,1925,5,6,"Spring",1,0.810344827586207,0.869280562111621
"USGS-01634000",1925-05-08,724,0.870192307692308,0.983149963017752,1925,5,8,"Spring",1,0.870192307692308,0.869280562111621
"USGS-01634000",1925-05-12,508,0.933823529411765,0.995620674740484,1925,5,12,"Spring",1,0.933823529411765,0.869280562111621
"USGS-01634000",1925-05-15,473,0.931102362204724,0.997085994171988,1925,5,15,"Spring",1,0.931102362204724,0.869280562111621
"USGS-01634000",1925-05-16,438,0.92600422832981,0.994524625774933,1925,5,16,"Spring",1,0.92600422832981,0.869280562111621
"USGS-01634000",1925-05-17,403,0.920091324200913,0.993614603532036,1925,5,17,"Spring",1,0.920091324200913,0.869280562111621
"USGS-01634000",1925-05-20,368,0.981333333333333,0.999651555555556,1925,5,20,"Spring",1,0.981333333333333,0.869280562111621
"USGS-01634000",1925-05-23,314,0.960244648318043,1.00135603998915,1925,5,23,"Spring",1,0.960244648318043,0.869280562111621
"USGS-01634000",1925-05-26,307,0.977707006369427,1.01818532191975,1925,5,26,"Spring",1,0.977707006369427,0.869280562111621
"USGS-01634000",1926-05-19,693,0.754901960784314,0.978576615831518,1926,5,19,"Spring",2,0.754901960784314,0.947380431959983
"USGS-01634000",1926-05-23,403,0.920091324200913,0.995715268655783,1926,5,23,"Spring",2,0.920091324200913,0.947380431959983
"USGS-01634000",1926-05-24,375,0.930521091811414,1.0113355786933,1926,5,24,"Spring",2,0.930521091811414,0.947380431959983
"USGS-01634000",1926-05-27,302,0.901492537313433,0.971459122298953,1926,5,27,"Spring",2,0.901492537313433,0.947380431959983
"USGS-01634000",1926-05-29,272,0.957746478873239,1.01844872049197,1926,5,29,"Spring",2,0.957746478873239,0.947380431959983
"USGS-01634000",1926-06-01,226,0.953586497890295,0.997845786821912,1926,6,1,"Summer",2,0.953586497890295,0.947380431959983
"USGS-01634000",1926-06-02,216,0.955752212389381,1.00227112538178,1926,6,2,"Summer",2,0.955752212389381,0.947380431959983
"USGS-01634000",1926-06-03,206,0.953703703703704,0.997856652949246,1926,6,3,"Summer",2,0.953703703703704,0.947380431959983
"USGS-01634000",1926-06-06,192,0.888888888888889,0.995884773662551,1926,6,6,"Summer",2,0.888888888888889,0.947380431959983
"USGS-01634000",1926-06-07,169,0.880208333333333,0.990234375,1926,6,7,"Summer",2,0.880208333333333,0.947380431959983
"USGS-01634000",1927-12-14,731,0.86,0.981411764705882,1927,12,14,"Winter",3,0.86,0.937792356819649
"USGS-01634000",1927-12-16,598,0.914373088685015,1.02202863582377,1927,12,16,"Winter",3,0.914373088685015,0.937792356819649
"USGS-01634000",1927-12-17,542,0.906354515050167,0.991230523148511,1927,12,17,"Winter",3,0.906354515050167,0.937792356819649
"USGS-01634000",1927-12-19,470,0.928853754940711,0.994938211813964,1927,12,19,"Winter",3,0.928853754940711,0.937792356819649
"USGS-01634000",1927-12-22,449,0.95531914893617,1.02849253055681,1927,12,22,"Winter",3,0.95531914893617,0.937792356819649
"USGS-01634000",1927-12-23,428,0.953229398663697,0.997812510850641,1927,12,23,"Winter",3,0.953229398663697,0.937792356819649
"USGS-01634000",1927-12-24,414,0.967289719626168,1.01475019652371,1927,12,24,"Winter",3,0.967289719626168,0.937792356819649
"USGS-01634000",1927-12-27,300,0.835654596100279,0.979973774256873,1927,12,27,"Winter",3,0.835654596100279,0.937792356819649
"USGS-01634000",1934-12-27,354,0.988826815642458,0.988826815642458,1934,12,27,"Winter",4,0.988826815642458,0.900290016398274
"USGS-01634000",1934-12-29,319,0.943786982248521,0.988463289100522,1934,12,29,"Winter",4,0.943786982248521,0.900290016398274
"USGS-01634000",1934-12-31,310,0.971786833855799,0.971786833855799,1934,12,31,"Winter",4,0.971786833855799,0.900290016398274
"USGS-01634000",1935-01-01,308,0.993548387096774,1.02239334027055,1935,1,1,"Winter",4,0.993548387096774,0.900290016398274
"USGS-01634000",1935-01-02,304,0.987012987012987,0.993422162253331,1935,1,2,"Winter",4,0.987012987012987,0.900290016398274
"USGS-01634000",1935-01-06,241,0.895910780669145,1.01247909785658,1935,1,6,"Winter",4,0.895910780669145,0.900290016398274
"USGS-01634000",1935-01-10,225,0.961538461538462,1.0026298487837,1935,1,10,"Winter",4,0.961538461538462,0.900290016398274
"USGS-01634000",1935-01-13,236,0.967213114754098,1.0227089492072,1935,1,13,"Winter",4,0.967213114754098,0.900290016398274
"USGS-01634000",1935-09-11,555,0.777310924369748,1.01246380905303,1935,9,11,"Fall",5,0.777310924369748,0.883385558528624
"USGS-01634000",1935-09-14,364,0.88780487804878,1.00256989886972,1935,9,14,"Fall",5,0.88780487804878,0.883385558528624
"USGS-01634000",1935-09-15,330,0.906593406593407,1.02116290303103,1935,9,15,"Fall",5,0.906593406593407,0.883385558528624
"USGS-01634000",1935-09-17,284,0.919093851132686,0.981556540044616,1935,9,17,"Fall",5,0.919093851132686,0.883385558528624
