"GroupID","start_date","end_date","n_days","median_flow","event_AGWRC"
1,1925-05-12,1925-05-26,7,403,0.961366257259062
2,1926-05-19,1926-06-07,10,249,0.935914518444191
4,1934-12-27,1935-01-13,8,306,0.97352065731256
5,1935-09-17,1935-09-27,5,253,0.963336867702866
6,1937-03-06,1937-03-13,6,497,0.94688404298281
7,1939-03-25,1939-04-15,17,404,0.973480358488712
8,1939-04-30,1939-05-19,13,446,0.964971285824647
9,1940-05-08,1940-05-20,9,389,0.962365960139368
11,1941-02-04,1941-02-19,10,375,0.965550363289138
12,1941-04-16,1941-05-12,18,369.5,0.965537669792497
13,1942-11-07,1942-11-20,12,565,0.964675310084533
14,1942-11-30,1942-12-20,16,462.5,0.974978739713429
15,1943-01-10,1943-01-24,11,573,0.980789868509954
16,1943-02-19,1943-03-05,11,617,0.956726334680995
18,1944-02-07,1944-02-14,5,154,0.964748377674366
19,1944-10-31,1944-11-13,8,260.5,0.967468938677086
20,1945-03-17,1945-04-16,23,385,0.985400274376919
23,1949-03-04,1949-03-17,9,595,0.966571891409323
25,1949-11-10,1949-11-20,7,297,0.963560590000257
28,1954-12-05,1954-12-13,7,281,0.969551357539403
29,1955-01-10,1955-01-21,7,389,0.955960802074271
30,1955-09-11,1955-09-15,5,378,0.953717108236115
31,1955-10-12,1955-10-28,8,176,0.985305927842505
32,1956-02-24,1956-03-07,9,339,0.962686719698675
33,1956-04-20,1956-04-30,10,389.5,0.966703382081989
34,1956-11-23,1956-12-11,8,121.5,0.990017665615792
35,1957-03-15,1957-03-29,10,435.5,0.96565526629642
36,1957-04-17,1957-04-23,7,506,0.935701896943616
37,1958-02-19,1958-02-25,7,310,0.965178139447754
39,1958-10-05,1958-10-20,10,142,0.987408624223045
40,1959-03-13,1959-03-31,11,211,0.965326769468282
41,1959-11-10,1959-11-22,8,156,0.975344211718251
44,1961-05-27,1961-06-05,9,318,0.950938604275188
45,1962-01-20,1962-02-16,21,367,0.974796189856215
46,1962-07-16,1962-08-02,11,182,0.968545053680363
47,1963-04-06,1963-04-24,17,430,0.969180281295541
48,1964-03-23,1964-04-13,13,482,0.973954623000298
49,1964-10-28,1964-11-09,9,133,0.980201641772435
50,1965-06-20,1965-07-04,10,134.5,0.979241185708759
51,1966-03-22,1966-04-11,15,167,0.981446597759248
52,1966-06-04,1966-06-16,9,177,0.941210046666651
55,1967-04-03,1967-05-01,19,420,0.966552078200464
56,1967-06-02,1967-06-18,12,234.5,0.95253792174108
57,1967-09-06,1967-09-11,5,271,0.956521704630268
59,1968-02-16,1968-02-27,9,370,0.961656380212808
61,1968-04-28,1968-05-13,16,299,0.977331606635425
62,1968-06-08,1968-06-16,7,289,0.946112316364764
63,1968-12-03,1968-12-10,6,189,0.986309434134868
65,1969-04-29,1969-05-07,9,198,0.950492641421644
66,1969-10-12,1969-10-30,15,175,0.979126677672086
67,1970-05-04,1970-05-14,9,453,0.943341336598612
68,1970-08-31,1970-09-17,13,123,0.9789640252201
70,1971-03-17,1971-04-01,13,535,0.969950631332691
71,1971-11-11,1971-11-19,9,296,0.963655533652327
74,1972-08-31,1972-09-21,14,184,0.987455408927309
75,1973-01-07,1973-01-15,7,864,0.945327267884225
77,1973-11-11,1973-11-23,12,262,0.95996776778523
78,1974-02-04,1974-02-12,6,578,0.960048303845459
79,1974-04-10,1974-05-02,20,429,0.95667752311822
83,1975-11-27,1975-12-25,22,269.5,0.983154378931637
84,1976-02-28,1976-03-08,10,420,0.959990991932482
85,1976-04-17,1976-04-29,8,284.5,0.980094899816792
86,1976-11-17,1976-11-26,10,333,0.975504543014121
87,1976-12-15,1977-01-07,18,356.5,0.96548413406399
88,1977-05-02,1977-06-04,25,175,0.973842634146308
90,1978-04-08,1978-04-16,9,633,0.947425545249012
91,1978-05-30,1978-06-20,13,320,0.962216330433457
93,1979-10-23,1979-10-31,6,666.5,0.961230146604858
94,1980-06-22,1980-07-07,12,251,0.982980341387971
95,1980-12-07,1980-12-18,10,160.5,0.982018135224892
96,1981-03-16,1981-03-28,12,164.5,0.982392019497512
98,1981-09-26,1981-10-03,7,97,0.975799942729674
99,1982-04-08,1982-04-25,14,444,0.972273750344346
100,1983-05-04,1983-05-13,8,679.5,0.936535356653482
101,1984-05-17,1984-05-27,7,601,0.954317660546775
102,1985-03-28,1985-04-12,10,484,0.954359191692364
103,1985-12-24,1986-01-17,13,255,0.972667419842465
104,1986-02-26,1986-03-08,5,710,0.952152219587223
105,1987-03-14,1987-03-30,13,466,0.967106191166481
106,1988-01-06,1988-01-16,8,440,0.953190179414936
108,1988-06-08,1988-06-16,6,291,0.950555135108313
110,1989-11-26,1989-12-04,7,364,0.95946366277848
111,1990-01-17,1990-01-22,6,385,0.964978121444688
114,1990-09-30,1990-10-10,6,132,0.99094325407385
115,1990-11-17,1990-12-02,13,259,0.968904233544067
117,1991-04-02,1991-04-12,9,828,0.933667017189585
119,1992-04-01,1992-04-12,11,383,0.947543719794395
122,1994-09-04,1994-09-17,11,211,0.973681987097712
124,1995-03-22,1995-04-09,16,287,0.970731630079241
126,1995-10-30,1995-11-05,4,272.5,0.932412000799848
127,1996-02-02,1996-02-20,9,1020,0.973398840574303
128,1996-04-17,1996-04-29,10,465,0.957011388247785
129,1996-10-28,1996-11-07,11,494,0.963179691299665
130,1997-05-02,1997-05-19,15,352,0.980979991449537
131,1997-11-19,1997-12-08,14,248.5,0.963816810518015
132,1998-06-04,1998-06-09,6,361,0.980544015254443
133,1998-07-03,1998-07-30,24,213,0.974320038244613
135,1999-02-07,1999-02-14,8,201.5,0.973417856996276
136,1999-04-08,1999-05-03,18,240,0.982364619613366
137,1999-10-21,1999-10-28,6,244.5,0.958229457065299
138,1999-11-12,1999-11-21,8,228.5,0.971782509111236
139,2000-01-02,2000-01-19,10,236,0.97030060418235
140,2001-05-01,2001-05-14,13,245,0.958485212787633
141,2001-12-19,2002-01-06,12,109,0.977569222099365
142,2002-02-13,2002-02-28,9,93.5,0.993216426309755
143,2004-01-04,2004-01-17,12,548.5,0.962102065085098
147,2006-02-22,2006-03-10,9,411,0.951930864219185
148,2006-03-25,2006-04-07,12,224.5,0.991418389224554
150,2006-12-03,2006-12-10,6,506,0.93951557611644
151,2007-01-14,2007-01-23,9,517,0.943626205922762
152,2007-04-01,2007-04-10,9,568,0.955136953083999
153,2007-05-04,2007-05-16,11,373,0.952117460102795
155,2008-02-20,2008-03-03,12,325,0.952144526969964
156,2009-01-15,2009-01-27,8,223,0.934296780687775
157,2009-02-18,2009-03-05,12,169.5,0.974987460676989
158,2009-06-28,2009-07-05,6,239.5,0.947804442424297
159,2010-04-09,2010-04-18,7,579,0.951133393164311
160,2010-08-28,2010-09-10,11,88.3,0.973811121686831
163,2011-07-14,2011-07-29,11,205,0.97571349294621
164,2012-02-08,2012-02-28,16,436.5,0.9761397298138
166,2012-04-13,2012-04-18,6,311.5,0.974745459811039
167,2012-04-29,2012-05-13,9,387,0.983490321839441
168,2012-11-26,2012-12-08,12,210,0.973410382418196
169,2013-02-12,2013-02-25,11,536,0.964409762016356
172,2014-08-17,2014-08-30,9,148,0.976217988052928
173,2014-12-16,2014-12-19,4,364.5,0.932790967856558
177,2015-10-20,2015-10-26,7,212,0.976234402285718
178,2016-04-07,2016-04-22,13,340,0.973984797209559
179,2016-10-21,2016-10-30,7,127,0.979044418791662
180,2017-02-13,2017-03-06,17,196,0.978557109882113
184,2019-11-11,2019-11-30,16,166.5,0.985155527431591
185,2020-02-23,2020-03-12,16,320,0.973847557706127
186,2020-09-15,2020-09-27,12,141.5,0.968352570673187
188,2021-01-15,2021-01-25,11,454,0.960769914796192
189,2021-10-09,2021-10-25,11,236,0.977253255849642
190,2021-12-03,2021-12-31,18,200,0.988826524779854
191,2022-08-16,2022-08-29,6,168,0.969110975180811
192,2022-09-21,2022-09-29,4,129.5,0.963993987559057
193,2022-11-30,2022-12-13,13,169,0.98081633882933
195,2023-03-10,2023-03-23,13,371,0.953699836946776
196,2023-04-01,2023-04-24,18,296,0.970922986449438
197,2023-05-13,2023-05-28,12,247.5,0.935164788311382
199,2023-10-20,2023-11-04,10,70.2,0.992837517757255
200,2024-04-24,2024-05-02,8,334.5,0.94852077505996
201,2024-06-05,2024-06-22,10,168,0.960339733850318
202,2024-10-27,2024-11-11,13,206,0.9859475105198
203,2025-02-25,2025-03-01,5,569,0.933940300539128
204,2025-04-12,2025-04-25,12,283,0.965295732890617
